teamId,location,name,abbreviation,displayName,shortDisplayName,color,alternateColor,logoURL,venueId,slug
18003,FC Goa,FC Goa,GOA,FC Goa,FC Goa,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18003.png,6448,fc_goa
18004,NorthEast United FC,NorthEast United FC,NEU,NorthEast United FC,NorthEast,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18004.png,6446,northeast_united_fc
18006,Cavalier SC,Cavalier SC,CAVA,Cavalier SC,Cavalier SC,000000,C60000,,0,jam.cavalier_sc
18015,Spartans FC,Spartans FC,SFC,Spartans FC,Spartans,000000,C60000,,6453,spartans_fc
18018,Kelty Hearts,Kelty Hearts,KEL,Kelty Hearts,Kelty,000000,C60000,,8174,kelty_hearts
18127,Novorizontino,Novorizontino,NOV,Novorizontino,Novorizontino,000000,FFD704,https://a.espncdn.com/i/teamlogos/soccer/500/18127.png,6502,novorizontino
18128,Água Santa,Água Santa,AST,Água Santa,Água Santa,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18128.png,6501,agua_santa
18153,Comerciantes Unidos,Comerciantes Unidos,CMU,Comerciantes Unidos,Comer Unid,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18153.png,7698,comerciantes_unidos
18159,Miami FC,Miami FC,MIA,Miami FC,Miami FC,f05123,263895,https://a.espncdn.com/i/teamlogos/soccer/500/18159.png,4419,miamifc
18187,Operario PR,Operario PR,OPE,Operario PR,Operario PR,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18187.png,6559,operario_pr
18199,Cangzhou Mighty Lions,Cangzhou Mighty Lions,CML,Cangzhou Mighty Lions,Cangzhou,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18199.png,8695,shijiazhuang_ever_bright
18203,Zhejiang Professional FC,Zhejiang Professional FC,ZHE,Zhejiang Professional FC,Zhejiang,000000,C60000,https://a.espncdn.com/i/teamlogos/soccer/500/18203.png,6574,hangzhou_greentown
18206,Orlando Pride,Orlando Pride,ORL,Orlando Pride,Orlando,c5b5f2,14002f,https://a.espncdn.com/i/teamlogos/soccer/500/18206.png,6971,orlando_pride
18214,Japan U23,Japan U23,JPN,Japan U23,Japan U23,ed1c24,ffffff,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,0,jpn.u23
18216,Egypt U23,Egypt U23,EGY,Egypt U23,Egypt U23,D20300,000000,https://a.espncdn.com/i/teamlogos/countries/500/egy.png,0,egy.u23
